_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude,image
67b8aaed1b0ceed0e5ffeedb,Xôi Hiệp Hòa - Đê La Thành,Món Việt,"415 Đê La Thành, P. Thành Công, Quận Ba Đình, Hà Nội",30.000đ - 66.000đ,06:00 - 23:00,6.12,Neutral,21.02410581224079,105.81417092000167,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstqln5921fo25@resize_ss576x330
67b8aaed1b0ceed0e5fff15b,Hoàng Minh - Lẩu Cá Đuối - Nguyễn Trường Tộ,Món Việt,"94 Nguyễn Trường Tộ, P. 3, Tp. Vũng Tàu, Vũng Tàu",25.000đ - 220.000đ,09:00 - 21:00,6.105769230769232,Neutral,10.342351603116754,107.07924263638336,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbj7nyfyk7v23@resize_ss576x330
67b8aaed1b0ceed0e5fff0f4,KAI Coffee - Bàu Cát,"Món Việt, Mỹ, Ý, Singapore","117 - 119 Bàu Cát, Quận Tân Bình, TP. HCM",25.000đ - 50.000đ,07:00 - 23:30,6.088653846153846,Neutral,10.790900047487268,106.64573947337131,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9chul62bq309@resize_ss576x330
67b8aaec1b0ceed0e5ffedd2,Cơm Tấm Phương Anh - Xuân Thủy,Món Việt,"Số 36 Ngõ 133 Xuân Thủy, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",45.000đ - 50.000đ,10:00 - 21:00,6.08,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaj8bgr1j2z51@resize_ss576x330
67b8aaed1b0ceed0e5fff026,Bánh Mì Sáu Lẹ - Nguyễn Tri Phương,Món Việt,"423 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",10.000đ - 20.000đ,06:00 - 23:00,6.077115384615384,Neutral,10.76093547574519,106.6685830279793,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu1rgws4exl7d@resize_ss576x330
67b8aaed1b0ceed0e5fff0cd,Texas Chicken - Nguyễn Văn Cừ,Mỹ,"217B Nguyễn Văn Cừ, Quận 5, TP. HCM",20.000đ - 275.000đ,10:00 - 21:30,6.0746153846153845,Neutral,10.754695027176261,106.6862833026333,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwawd7n84zx584@resize_ss576x330
67b8aaed1b0ceed0e5fff100,Phúc Long Hoà Bình,Món Việt,"296 Hòa Bình, P. Hiệp Tân, Quận Tân Phú, TP. HCM",28.000đ - 229.000đ,08:00 - 21:30,6.062115384615384,Neutral,10.772740220934672,106.6242829536868,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m4sd4bnobzco88@resize_ss576x330
67b8aaed1b0ceed0e5ffefd0,Kim Pizza,Quốc tế,"28 Trần Hưng Đạo, P. Phước Hiệp, Tp. Bà Rịa, Vũng Tàu",200.000đ - 300.000đ,09:00 - 22:00,6.054615384615385,Neutral,10.500856731001063,107.17947354049791,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg3qt550hjv6a@resize_ss576x330
67b8aaec1b0ceed0e5ffedb9,Ốc Ngon 77 -  Cháo Hải Sản 24H,Món Việt,"106 C3 Nghĩa Tân, Quận Cầu Giấy, Hà Nội",15.000đ - 100.000đ,09:00 - 22:00,6.04,Neutral,21.048852893406018,105.79422956824449,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe4jze6y66zd0@resize_ss576x330
67b8aaed1b0ceed0e5fff039,Quán 79 Nem Nướng,Món Việt,"626 Bà Hạt, P. 6, Quận 10, TP. HCM",20.000đ - 55.000đ,11:30 - 18:30,6.039423076923077,Neutral,10.764628050973219,106.6629525215929,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstqh6yzev892d@resize_ss576x330
67b8aaed1b0ceed0e5fff04b,Bánh Canh Cua Lộc Vừng - Đồng Đen,Món Việt,"208 Đồng Đen, P. 14, Quận Tân Bình, TP. HCM",40.000đ - 203.000đ,07:00 - 21:30,6.038461538461538,Neutral,10.788004815300024,106.64309409854677,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsuaslf215ms25@resize_ss576x330
67b8aaed1b0ceed0e5fff07b,Bún Thịt Nướng Kiều Bảo - Lê Trọng Tấn,Món Việt,"266 Lê Trọng Tấn, P. Tây Thạnh, Quận Tân Phú, TP. HCM",20.000đ - 40.000đ,11:00 - 20:30,6.010576923076923,Neutral,10.811268920210576,106.6108746974033,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwanlr5135cp67@resize_ss576x330
67b8aaed1b0ceed0e5ffef20,Nem Xiên Que Cô Tâm - Xiên Que 3k - 1 Bà Triệu,Món Việt,"Số 1 Bà Triệu, P. Nguyễn Trãi (Đầu Đường Bà Triệu, cạnh ngã 3 Hoàng Hoa Thám , trường cấp 2 Nguyễn Trãi), Quận Hà Đông, Hà Nội",Đang cập nhật,09:00 - 23:00,6.0,Neutral,,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvf06b75vb865@resize_ss576x330
67b8aaed1b0ceed0e5ffee82,Bảo Phương - Bánh Trung Thu,empty,"183 Thụy Khuê, P. Thụy Khuê, Quận Tây Hồ, Hà Nội",40.000đ - 110.000đ,08:00 - 22:00,6.0,Neutral,21.040972069446617,105.82629986744806,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwakenrqd8ezcf@resize_ss576x330
67b8aaed1b0ceed0e5ffee94,Bún Chả Bảo Thoa,Món Việt,"Đơn 2 Tập Thể Ngõ 167 Xã Đàn, P. Nam Đồng, Quận Đống Đa, Hà Nội",30.000đ - 35.000đ,07:00 - 15:00,5.98,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhpi2z7vowp61@resize_ss576x330
67b8aaed1b0ceed0e5fff0de,Trà Sữa Gong Cha - 貢茶 - Nguyễn Sơn,Đài Loan,"7 Nguyễn Sơn, P. Phú Thạnh, Quận Tân Phú, TP. HCM",40.000đ - 80.000đ,09:30 - 21:30,5.978076923076923,Neutral,10.781310543038007,106.63152006334131,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m4rbrn00jglrd2@resize_ss576x330
67b8aaed1b0ceed0e5fff065,Bún Mọc Sườn - Út Tịch,Món Việt,"308/13 Hoàng Văn Thụ, Ngã 4 Út Tịch, Quận Tân Bình, TP. HCM",20.000đ - 55.000đ,06:00 - 10:00,5.967846153846154,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgy64zfbt21f0@resize_ss576x330
67b8aaed1b0ceed0e5ffef51,Hải Sản Lucky - Linh Đàm,Hà Nội,"Biệt Thự 1 Lô 11 Linh Đàm, P. Nguyễn Hữu Thọ, Quận Hoàng Mai, Hà Nội",200.000đ - 400.000đ,09:00 - 22:00,5.94,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9iu3740g6366@resize_ss576x330
67b8aaed1b0ceed0e5ffef13,Burger King - Sân Bay Nội Bài,Mỹ,"Tầng 3, Sân bay Nội Bài, Huyện Sóc Sơn, Hà Nội",70.000đ - 165.000đ,10:00 - 22:00,5.94,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe35t7sb10bcc@resize_ss576x330
67b8aaed1b0ceed0e5ffedf2,Bún Chửi - Ngô Sĩ Liên,Hà Nội,"41 Ngô Sĩ Liên, P. Văn Miếu, Quận Đống Đa, Hà Nội",35.000đ - 50.000đ,11:00 - 19:00,5.94,Neutral,21.027549802626748,105.83959639544007,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9kyuwbpl231d@resize_ss576x330
67b8aaec1b0ceed0e5ffedc0,Nhà Hàng KIMHO - Tô Hiệu,Món Việt,"293 Tô Hiệu, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",49.000đ - 69.000đ,11:00 - 14:00,5.92,Neutral,21.0416334867424,105.79245438559104,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbw0vyxzv8bbe@resize_ss576x330
67b8aaed1b0ceed0e5ffee76,Nem Chua Phượng,Món Việt,"10 Ấu Triệu, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",20.000đ - 55.000đ,15:00 - 22:30,5.92,Neutral,21.02871857953913,105.84856142201538,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgttukyvv8b84@resize_ss576x330
67b8aaed1b0ceed0e5ffedf4,Chị Xuân - Pate Hải Phòng - Shop Online,empty,"Ngách 12, Ngõ 199 Hồ Tùng Mậu, P. Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",50.000đ - 100.000đ,07:00 - 21:00,5.92,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwf2y5iu2j1586@resize_ss576x330
67b8aaed1b0ceed0e5ffee7e,Chay Tâm Đức,Món Bắc,"14 Dịch Vọng, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",20.000đ - 200.000đ,06:00 - 21:00,5.92,Neutral,21.03406547414466,105.79409055604398,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwuljzz4jo3d@resize_ss576x330
67b8aaed1b0ceed0e5fff16e,Chị Trâm - Gỏi Cuốn & Hột Vịt Lộn,Món Việt,"728 Huỳnh Tấn Phát, P. Tân Phú (Bên Hông Hẻm 730 Huỳnh Tấn Phát), Quận 7, TP. HCM",7.000đ - 20.000đ,empty,5.92,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8kzc5vt87v65@resize_ss576x330
67b8aaed1b0ceed0e5fff035,Texas Chicken - Phan Xích Long,Mỹ,"274 - 276 Phan Xích Long, P. 7, Quận Phú Nhuận, TP. HCM",50.000đ - 220.000đ,07:00 - 22:00,5.908653846153847,Neutral,10.7982611,106.6889459,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdau141v9az29@resize_ss576x330
67b8aaed1b0ceed0e5fff06d,"Highlands Coffee - Trà, Cà Phê & Bánh - 33 Lê Văn Khương D12",empty,"33 Lê Văn Khương, P. Tân Thới Hiệp, Quận 12, TP. HCM",29.000đ - 59.000đ,07:00 - 23:00,5.903846153846153,Neutral,10.862882568317021,106.64966490199019,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m20jvgcegja3d9@resize_ss576x330
67b8aaed1b0ceed0e5ffee08,Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Trung Kính,Món Á,"8B Ngõ 99 Trung Kính, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",30.000đ - 60.000đ,08:30 - 22:30,5.9,Neutral,21.01079453555483,105.79646557384986,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwagulf5212147@resize_ss576x330
67b8aaed1b0ceed0e5fff113,Thành Đạt - Hủ Tiếu Nam Vang - Nguyễn Thượng Hiền,Món Việt,"316 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",45.000đ - 48.000đ,00:01 - 23:59,5.880865384615385,Neutral,10.774435734418992,106.68381328350229,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwckzas2ag2j73@resize_ss576x330
67b8aaed1b0ceed0e5fff125,Thức Coffee - Nguyễn Oanh,Món Việt,"45 Nguyễn Oanh, P. 10, Quận Gò Vấp, TP. HCM",28.000đ - 65.000đ,07:00 - 23:00,5.88,Neutral,10.82883805,106.67875775,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwankrp8vaajc4@resize_ss576x330
67b8aaed1b0ceed0e5fff009,Tấn Phát - Mì Vịt Tiềm,Món Việt,"24A Lý Thường Kiệt, P. Tân An, Quận Ninh Kiều, Cần Thơ",50.000đ - 100.000đ,14:00 - 23:59,5.871538461538462,Neutral,10.034840860731451,105.78801931005903,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstxrlzmugg4b7@resize_ss576x330
67b8aaed1b0ceed0e5fff0d5,Gà Rán KFC - Lê Văn Sỹ,Mỹ,"407C - 407D Lê Văn Sỹ, P. 12, Quận 3, TP. HCM",50.000đ - 165.000đ,09:00 - 22:00,5.866153846153846,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9elk7peguz41@resize_ss576x330
67b8aaed1b0ceed0e5ffedf9,Bánh Mì Phúc - Yết Kiêu,Hà Nội,"9 Yết Kiêu, P. Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",70.000đ - 100.000đ,07:00 - 21:00,5.86,Neutral,21.01957956567059,105.84241749289056,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfbna0e9lg9f1@resize_ss576x330
67b8aaed1b0ceed0e5ffef96,Giò Chả Minh Châu - Lý Tự Trọng,Món Việt,"238 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",100.000đ - 330.000đ,06:00 - 19:00,5.855769230769232,Neutral,10.774837030324933,106.69814982103193,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bmuoifd23fa@resize_ss800x450
67b8aaed1b0ceed0e5fff001,Trà Sữa Chin -  Trần Hoàng Na,Món Việt,"39B Trần Hoàng Na, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",20.000đ - 40.000đ,08:30 - 21:30,5.848106508875739,Neutral,10.012513406412587,105.76403719522465,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lzvds8kfef1dae@resize_ss576x330
67b8aaed1b0ceed0e5ffef0d,Đỉnh Thái Phong - Ẩm Thực Trung Hoa,Món Trung Hoa,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh, P. Trung Hoà, Quận Cầu Giấy, Hà Nội",50.000đ - 500.000đ,11:00 - 14:00 | 17:00 - 20:30,5.84,Neutral,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhxgapz8xjt85@resize_ss576x330
67b8aaed1b0ceed0e5fff0d7,Rau Má Mix - 520 Nguyễn Thị Thập,Món Việt,"520 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",12.000đ - 26.000đ,08:30 - 22:15,5.82902097902098,Neutral,10.74108403537176,106.69548658299676,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lz0cb52unli930@resize_ss576x330
