restaurantId,Avg_Rate,Avg_Sentiment_Score,Avg_Combined_Score,Positive_Count,Negative_Count,Neutral_Count,Total_Reviews,Positive_Rate,Negative_Rate,Neutral_Rate,Final_Score,Final_Score_Normalized,Category
67812ec1514dba6089ed9452,8.2,10.0,9.1,1,0,0,1,1.0,0.0,0.0,11.1,9.376923076923076,Positive
67812ec1514dba6089ed938a,8.2,10.0,9.1,1,0,0,1,1.0,0.0,0.0,11.1,9.376923076923076,Positive
67812ec1514dba6089ed947a,8.120000000000001,10.0,9.059999999999999,5,0,0,5,1.0,0.0,0.0,11.059999999999999,9.349230769230768,Positive
67812ec1514dba6089ed93e4,8.1,10.0,9.05,2,0,0,2,1.0,0.0,0.0,11.05,9.342307692307692,Positive
67812ec1514dba6089ed92e4,8.1,10.0,9.05,2,0,0,2,1.0,0.0,0.0,11.05,9.342307692307692,Positive
67812ec1514dba6089ed92e2,8.0,10.0,9.0,2,0,0,2,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed931f,8.0,10.0,9.0,2,0,0,2,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed9315,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed9321,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed93b1,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed945b,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed9345,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed934b,8.0,10.0,9.0,1,0,0,1,1.0,0.0,0.0,11.0,9.307692307692308,Positive
67812ec1514dba6089ed948e,7.971428571428571,10.0,8.985714285714286,14,0,0,14,1.0,0.0,0.0,10.985714285714286,9.297802197802197,Positive
67812ec1514dba6089ed9351,7.959999999999999,10.0,8.98,5,0,0,5,1.0,0.0,0.0,10.98,9.293846153846154,Positive
67812ec1514dba6089ed93be,7.955555555555556,10.0,8.977777777777778,27,0,0,27,1.0,0.0,0.0,10.977777777777778,9.292307692307691,Positive
67812ec1514dba6089ed9361,8.166666666666666,9.85,9.008333333333333,29,0,1,30,0.9666666666666667,0.0,0.03333333333333333,10.975,9.290384615384614,Positive
67812ec1514dba6089ed9364,7.92,10.0,8.959999999999999,5,0,0,5,1.0,0.0,0.0,10.959999999999999,9.28,Positive
67812ec1514dba6089ed946b,7.866666666666667,10.0,8.933333333333334,3,0,0,3,1.0,0.0,0.0,10.933333333333334,9.261538461538462,Positive
67812ec1514dba6089ed9342,8.933333333333334,9.25,9.091666666666667,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666,10.924999999999999,9.25576923076923,Positive
67812ec1514dba6089ed9306,7.8,10.0,8.9,1,0,0,1,1.0,0.0,0.0,10.9,9.23846153846154,Positive
67812ec1514dba6089ed9463,7.8,10.0,8.9,1,0,0,1,1.0,0.0,0.0,10.9,9.23846153846154,Positive
67812ec1514dba6089ed92b6,7.8,10.0,8.9,10,0,0,10,1.0,0.0,0.0,10.9,9.23846153846154,Positive
67812ec1514dba6089ed9442,7.8,10.0,8.9,4,0,0,4,1.0,0.0,0.0,10.9,9.23846153846154,Positive
67812ec1514dba6089ed9310,7.800000000000001,10.0,8.899999999999999,2,0,0,2,1.0,0.0,0.0,10.899999999999999,9.238461538461538,Positive
67812ec1514dba6089ed9469,7.8,10.0,8.899999999999999,2,0,0,2,1.0,0.0,0.0,10.899999999999999,9.238461538461538,Positive
67812ec1514dba6089ed9380,9.3,8.875,9.0875,3,0,1,4,0.75,0.0,0.25,10.8375,9.195192307692308,Positive
67812ec1514dba6089ed92e9,7.666666666666667,10.0,8.833333333333334,3,0,0,3,1.0,0.0,0.0,10.833333333333334,9.192307692307692,Positive
