_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed9270,Cơm Gà Hội An De Faifo - Triệu Việt Vương,Món Việt,"98 Triệu Việt Vương, P. Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",40.000đ - 490.000đ,07:00 - 21:30,7.26,Positive,,
67812ec1514dba6089ed9498,Bún Xì Dầu - Quách Văn Tuấn,Món Việt,"3 Quách Văn Tuấn, P. 12, Quận Tân Bình, TP. HCM",25.000đ - 30.000đ,empty,7.26,Positive,10.799792697556017,106.652478809282
67812ec1514dba6089ed926d,Cơm Một Ngày Mới,Món Việt,"72 Mã Mây, Quận Hoàn Kiếm, Hà Nội",20.000đ - 110.000đ,10:30 - 21:30,7.26,Positive,21.0347641,105.8533681
67812ec1514dba6089ed93a4,Cơm 42,Món Việt,"42 Cô Bắc, Quận 1, TP. HCM",20.000đ - 55.000đ,10:00 - 19:00,7.25375,Positive,10.762839998005614,106.69236158570018
67812ec1514dba6089ed93e5,Gà Nướng Muối Ớt - 31 Nguyễn Thượng Hiền,Món Việt,"31 Nguyễn Thượng Hiền, Quận 3, TP. HCM",149.000đ - 149.000đ,08:00 - 22:00,7.253461538461538,Positive,10.77064969841473,106.68625484912809
67812ec1514dba6089ed9314,GoGi House - Quán Nướng Hàn Quốc - AEON Mall Bình Dương,Món Hàn,"S5 Tầng 2 AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương",100.000đ - 300.000đ,10:00 - 22:00,7.245192307692308,Positive,,
67812ec1514dba6089ed93f6,Cơm Chiên Da Gà & Xôi Gà,Món Việt,"23 Lô O (Đối Diện Cổng Chính Trường Nguyễn Huệ, Đường Hoàng Diệu), P. 8, Quận 4, TP. HCM",10.000đ - 15.000đ,10:00 - 13:00 | 16:00 - 20:00,7.241923076923078,Positive,,
67812ec1514dba6089ed9477,Gánh Bún Bò Mệ Kéo,Món Huế,"20 Bạch Đằng, Tp. Huế, Huế",25.000đ - 60.000đ,06:00 - 10:00,7.240242914979757,Positive,16.48792116196244,107.58013466123958
67812ec1514dba6089ed919e,Đức Long - Doner Kebab - Lương Ngọc Quyến,Thổ Nhĩ Kỳ,"5H Lương Ngọc Quyến, Quận Hoàn Kiếm, Hà Nội",15.000đ - 30.000đ,10:00 - 23:30,7.24,Positive,21.034856400000002,105.85327365
67812ec1514dba6089ed9152,Phở Tíu - Chợ Đồng Xuân,Món Việt,"Ngõ Chợ Đồng Xuân, Hàng Chiếu, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",25.000đ - 30.000đ,07:00 - 17:00,7.24,Positive,,
